EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE
10046120,LOUISIANA,1980,April,Hail,C,RAPIDES,0,0,0,0,0,0,
10065016,NEBRASKA,1980,May,Hail,C,KNOX,0,0,0,0,0,0,
10065375,NEBRASKA,1980,July,Thunderstorm Wind,C,DUNDY,0,0,0,0,0,0,
10054907,MINNESOTA,1980,September,Thunderstorm Wind,C,RENVILLE,0,0,0,0,0,0,
9975991,ALABAMA,1980,September,Thunderstorm Wind,C,BIBB,0,0,0,0,0,0,
9975992,ALABAMA,1980,November,Tornado,C,BALDWIN,0,0,0,0,25K,0,F0
10075651,NEW YORK,1980,June,Hail,C,GENESEE,0,0,0,0,0,0,
10058560,MISSOURI,1980,May,Thunderstorm Wind,C,CEDAR,0,0,0,0,0,0,
10058526,MISSOURI,1980,April,Tornado,C,FRANKLIN,0,0,0,0,250K,0,F2
10066131,NEBRASKA,1980,May,Hail,C,WEBSTER,0,0,0,0,0,0,
10052665,MINNESOTA,1980,June,Hail,C,MARTIN,0,0,0,0,0,0,
9977765,ALABAMA,1980,April,Hail,C,ETOWAH,0,0,0,0,0,0,
9977766,ALABAMA,1980,May,Thunderstorm Wind,C,LAUDERDALE,0,0,0,0,0,0,
9977767,ALABAMA,1980,May,Thunderstorm Wind,C,ESCAMBIA,0,0,0,0,0,0,
9977768,ALABAMA,1980,May,Tornado,C,MOBILE,0,0,0,0,2.5K,0,F0
9977769,ALABAMA,1980,May,Thunderstorm Wind,C,JEFFERSON,0,0,0,0,0,0,
9977770,ALABAMA,1980,May,Thunderstorm Wind,C,JEFFERSON,0,0,0,0,0,0,
9977771,ALABAMA,1980,May,Thunderstorm Wind,C,JEFFERSON,0,0,0,0,0,0,
9977772,ALABAMA,1980,May,Thunderstorm Wind,C,JEFFERSON,0,0,0,0,0,0,
9977774,ALABAMA,1980,May,Tornado,C,BALDWIN,0,0,0,0,25K,0,F1
9977775,ALABAMA,1980,May,Tornado,C,BALDWIN,0,0,0,0,25K,0,F1
9977748,ALABAMA,1980,April,Thunderstorm Wind,C,CLEBURNE,0,0,0,0,0,0,
9977749,ALABAMA,1980,April,Tornado,C,MOBILE,0,0,0,0,25K,0,F1
9977750,ALABAMA,1980,April,Tornado,C,MOBILE,0,0,0,0,.25K,0,F1
9977751,ALABAMA,1980,April,Tornado,C,MOBILE,0,0,0,0,2.5K,0,F1
9977752,ALABAMA,1980,April,Tornado,C,BALDWIN,0,0,0,0,25K,0,F2
9977753,ALABAMA,1980,April,Tornado,C,MOBILE,0,0,0,0,25K,0,F1
9977754,ALABAMA,1980,April,Thunderstorm Wind,C,MONTGOMERY,0,0,0,0,0,0,
9977755,ALABAMA,1980,April,Thunderstorm Wind,C,CLAY,0,0,0,0,0,0,
9977756,ALABAMA,1980,April,Tornado,C,LEE,13,0,0,0,2.5M,0,F2
9977757,ALABAMA,1980,April,Thunderstorm Wind,C,CHAMBERS,0,0,0,0,0,0,
9977758,ALABAMA,1980,April,Thunderstorm Wind,C,LEE,0,0,0,0,0,0,
9977759,ALABAMA,1980,April,Thunderstorm Wind,C,GENEVA,0,0,0,0,0,0,
9977760,ALABAMA,1980,April,Tornado,C,JEFFERSON,0,0,0,0,250K,0,F2
9977724,ALABAMA,1980,March,Tornado,C,BIBB,0,0,0,0,2.5K,0,F1
9977725,ALABAMA,1980,March,Hail,C,SHELBY,0,0,0,0,0,0,
9977726,ALABAMA,1980,March,Tornado,C,HOUSTON,5,0,0,0,250K,0,F2
9977728,ALABAMA,1980,March,Tornado,C,CLARKE,0,0,0,0,25K,0,F1
9977729,ALABAMA,1980,March,Thunderstorm Wind,C,MONROE,0,0,0,0,0,0,
9977730,ALABAMA,1980,March,Tornado,C,CLARKE,0,0,0,0,2.5K,0,F1
9977732,ALABAMA,1980,March,Tornado,C,JEFFERSON,0,0,0,0,0K,0,F1
9977733,ALABAMA,1980,March,Thunderstorm Wind,C,WASHINGTON,0,0,0,0,0,0,
9977734,ALABAMA,1980,March,Thunderstorm Wind,C,CLARKE,0,0,0,0,0,0,
9977735,ALABAMA,1980,March,Thunderstorm Wind,C,CLARKE,0,0,0,0,0,0,
9977736,ALABAMA,1980,March,Tornado,C,TALLADEGA,6,0,0,0,250K,0,F2
9977737,ALABAMA,1980,March,Thunderstorm Wind,C,BALDWIN,0,0,0,0,0,0,
