FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
1006023,10060608,D,3/20/1980 15:45,,,
1006024,10001880,D,3/1/1980 20:00,,,
1006025,10060634,D,4/25/1980 18:50,,,
1006026,10031030,D,4/8/1980 14:10,,,
1006027,10131258,D,4/7/1980 16:48,,,
1006028,10042726,D,5/15/1980 17:00,,,
1006029,10042731,D,5/16/1980 3:45,,,
1006030,10039306,D,5/13/1980 13:58,,,
1006031,10017336,D,5/30/1980 10:30,,,
1006032,10066167,D,6/3/1980 19:45,,,
1006033,10066169,D,6/3/1980 20:05,,,
1006034,10066175,D,6/3/1980 21:16,,,
1006035,10019565,D,6/7/1980 16:30,,,
1006036,10018443,D,6/2/1980 12:00,,,
1006037,10019616,D,7/9/1980 20:35,,,
1006038,10152353,D,7/15/1980 20:25,,,
1006039,10152355,D,7/15/1980 20:40,,,
1006040,10152360,D,7/15/1980 20:48,,,
1006041,10054908,D,9/3/1980 18:36,,,
1006042,9979974,D,10/17/1980 12:20,,,
